,word,score
20964,blame,-2.0
20965,blamed,-2.0
20966,blames,-2.0
20967,blaming,-2.0
20968,bless,2.0
20969,blesses,2.0
20970,blessing,3.0
20971,blind,-1.0
20972,bliss,3.0
20973,blissful,3.0
20974,blithe,2.0
20975,block,-1.0
20976,blockbuster,3.0
20977,blocked,-1.0
20978,blocking,-1.0
20979,blocks,-1.0
20980,bloody,-3.0
20981,blurry,-2.0
20982,boastful,-2.0
20983,bold,2.0
20984,boldly,2.0
20985,bomb,-1.0
20986,boost,1.0
20987,boosted,1.0
20988,boosting,1.0
20989,boosts,1.0
20990,bore,-2.0
20991,bored,-2.0
20992,boring,-3.0
20993,bother,-2.0
20994,bothered,-2.0
20995,bothers,-2.0
20996,bothersome,-2.0
20997,boycott,-2.0
20998,boycotted,-2.0
20999,boycotting,-2.0
21000,boycotts,-2.0
21001,brainwashing,-3.0
21002,brave,2.0
21003,breakthrough,3.0
21004,breathtaking,5.0
21005,bribe,-3.0
21006,bright,1.0
21007,brightest,2.0
21008,brightness,1.0
21009,brilliant,4.0
21010,brisk,2.0
21011,broke,-1.0
21012,broken,-1.0
21013,brooding,-2.0
21014,bullied,-2.0
21015,bullshit,-4.0
21016,bully,-2.0
21017,bullying,-2.0
21018,bummer,-2.0
21019,buoyant,2.0
21020,burden,-2.0
21021,burdened,-2.0
21022,burdening,-2.0
21023,burdens,-2.0
21024,calm,2.0
21025,calmed,2.0
21026,calming,2.0
21027,calms,2.0
21028,can't stand,-3.0
21029,cancel,-1.0
21030,cancelled,-1.0
21031,cancelling,-1.0
21032,cancels,-1.0
21033,cancer,-1.0
21034,capable,1.0
21035,captivated,3.0
21036,care,2.0
21037,carefree,1.0
21038,careful,2.0
21039,carefully,2.0
21040,careless,-2.0
21041,cares,2.0
21042,cashing in,-2.0
21043,casualty,-2.0
21044,catastrophe,-3.0
21045,catastrophic,-4.0
21046,cautious,-1.0
21047,celebrate,3.0
21048,celebrated,3.0
21049,celebrates,3.0
21050,celebrating,3.0
21051,censor,-2.0
21052,censored,-2.0
21053,censors,-2.0
21054,certain,1.0
21055,chagrin,-2.0
21056,chagrined,-2.0
21057,challenge,-1.0
21058,chance,2.0
21059,chances,2.0
21060,chaos,-2.0
21061,chaotic,-2.0
21062,charged,-3.0
21063,charges,-2.0
21064,charm,3.0
21065,charming,3.0
21066,charmless,-3.0
21067,chastise,-3.0
21068,chastised,-3.0
21069,chastises,-3.0
21070,chastising,-3.0
21071,cheat,-3.0
21072,cheated,-3.0
21073,cheater,-3.0
21074,cheaters,-3.0
21075,cheats,-3.0
21076,cheer,2.0
21077,cheered,2.0
21078,cheerful,2.0
21079,cheering,2.0
21080,cheerless,-2.0
21081,cheers,2.0
21082,cheery,3.0
21083,cherish,2.0
21084,cherished,2.0
21085,cherishes,2.0
21086,cherishing,2.0
21087,chic,2.0
21088,childish,-2.0
21089,chilling,-1.0
21090,choke,-2.0
21091,choked,-2.0
21092,chokes,-2.0
21093,choking,-2.0
21094,clarifies,2.0
21095,clarity,2.0
21096,clash,-2.0
21097,classy,3.0
21098,clean,2.0
21099,cleaner,2.0
21100,clear,1.0
21101,cleared,1.0
21102,clearly,1.0
21103,clears,1.0
21104,clever,2.0
21105,clouded,-1.0
21106,clueless,-2.0
21107,cock,-5.0
21108,cocksucker,-5.0
21109,cocksuckers,-5.0
21110,cocky,-2.0
21111,coerced,-2.0
21112,collapse,-2.0
21113,collapsed,-2.0
21114,collapses,-2.0
21115,collapsing,-2.0
21116,collide,-1.0
21117,collides,-1.0
21118,colliding,-1.0
21119,collision,-2.0
21120,collisions,-2.0
21121,colluding,-3.0
21122,combat,-1.0
21123,combats,-1.0
21124,comedy,1.0
21125,comfort,2.0
21126,comfortable,2.0
21127,comforting,2.0
21128,comforts,2.0
21129,commend,2.0
21130,commended,2.0
21131,commit,1.0
21132,commitment,2.0
21133,commits,1.0
21134,committed,1.0
21135,committing,1.0
21136,compassionate,2.0
21137,compelled,1.0
21138,competent,2.0
21139,competitive,2.0
21140,complacent,-2.0
21141,complain,-2.0
21142,complained,-2.0
21143,complains,-2.0
21144,comprehensive,2.0
21145,conciliate,2.0
21146,conciliated,2.0
21147,conciliates,2.0
21148,conciliating,2.0
21149,condemn,-2.0
21150,condemnation,-2.0
21151,condemned,-2.0
21152,condemns,-2.0
21153,confidence,2.0
21154,confident,2.0
21155,conflict,-2.0
21156,conflicting,-2.0
21157,conflictive,-2.0
21158,conflicts,-2.0
21159,confuse,-2.0
21160,confused,-2.0
21161,confusing,-2.0
21162,congrats,2.0
21163,congratulate,2.0
21164,congratulation,2.0
21165,congratulations,2.0
21166,consent,2.0
21167,consents,2.0
21168,consolable,2.0
21169,conspiracy,-3.0
21170,constrained,-2.0
21171,contagion,-2.0
21172,contagions,-2.0
21173,contagious,-1.0
21174,contempt,-2.0
21175,contemptuous,-2.0
21176,contemptuously,-2.0
21177,contend,-1.0
21178,contender,-1.0
21179,contending,-1.0
21180,contentious,-2.0
21181,contestable,-2.0
21182,controversial,-2.0
21183,controversially,-2.0
